Case,Asaba_Rad,Full_Case
"{'son': 'A', 'father_of_father': '1/6', 'daughter_x2': 'A'}","{'son': '5/12', 'father_of_father': '1/6', 'daughter_x2': '5/12'}",,"{'son': 10.0, 'father_of_father': 4.0, 'daughter_1': 5.0, 'daughter_2': 5.0, 'total_shares': 24.0}"
"{'son': 'A', 'father_of_father': '1/6', 'daughter_of_son': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'daughter_of_son': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'daughter_of_son': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'daughter_of_son_x2': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'daughter_of_son_x2': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'mother': '1/6'}","{'son': '2/3', 'father_of_father': '1/6', 'mother': '1/6'}",,"{'son': 4.0, 'father_of_father': 1.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'grandmother_father': '1/6'}","{'son': '2/3', 'father_of_father': '1/6', 'grandmother_father': '1/6'}",,"{'son': 4.0, 'father_of_father': 1.0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'grandmother_mother': '1/6'}","{'son': '2/3', 'father_of_father': '1/6', 'grandmother_mother': '1/6'}",,"{'son': 4.0, 'father_of_father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '2/3', 'sister': '1/3'}","{'son': '0', 'father_of_father': '2/3', 'sister': '1/3'}",,"{'son': 0, 'father_of_father': 2.0, 'sister': 1.0, 'total_shares': 3.0}"
"{'son': 'A', 'father_of_father': '1/2', 'sister_x2': '1/2'}","{'son': '0', 'father_of_father': '1/2', 'sister_x2': '1/2'}",,"{'son': 0, 'father_of_father': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'son': 'A', 'father_of_father': '2/3', 'paternal_halfsister': 'A'}","{'son': '2/9', 'father_of_father': '2/3', 'paternal_halfsister': '1/9'}",,"{'son': 2.0, 'father_of_father': 6.0, 'paternal_halfsister': 1.0, 'total_shares': 9.0}"
"{'son': 'A', 'father_of_father': '1/2', 'paternal_halfsister_x2': 'A'}","{'son': '1/4', 'father_of_father': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'son': 2.0, 'father_of_father': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'son': 'A', 'father_of_father': '1/6', 'maternal_halfsister': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'maternal_halfsister': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
