Case,Asaba_Rad,Full_Case
"{'atiq': '0', 'daughter_of_son': '1/2', 'paternal_halfsister': 'A'}","{'atiq': '0', 'daughter_of_son': '1/2', 'paternal_halfsister': '1/2'}",,"{'atiq': 0, 'daughter_of_son': 1.0, 'paternal_halfsister': 1.0, 'total_shares': 2.0}"
"{'atiq': '0', 'daughter_of_son': '1/2', 'paternal_halfsister_x2': 'A'}","{'atiq': '0', 'daughter_of_son': '1/2', 'paternal_halfsister_x2': '1/2'}",,"{'atiq': 0, 'daughter_of_son': 2.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'atiq': 'A', 'daughter_of_son': '1/2', 'maternal_halfsister': '0'}","{'atiq': '1/2', 'daughter_of_son': '1/2', 'maternal_halfsister': '0'}",,"{'atiq': 1.0, 'daughter_of_son': 1.0, 'maternal_halfsister': 0, 'total_shares': 2.0}"
"{'atiq': 'A', 'daughter_of_son': '1/2', 'maternal_halfsister_x2': '0'}","{'atiq': '1/2', 'daughter_of_son': '1/2', 'maternal_halfsister_x2': '0'}",,"{'atiq': 1.0, 'daughter_of_son': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'atiq': 'A', 'daughter_of_son': '1/2', 'wife': '1/8'}","{'atiq': '3/8', 'daughter_of_son': '1/2', 'wife': '1/8'}",,"{'atiq': 3.0, 'daughter_of_son': 4.0, 'wife': 1.0, 'total_shares': 8.0}"
"{'atiq': 'A', 'daughter_of_son': '1/2', 'mutiqa': '0'}","{'atiq': '1/2', 'daughter_of_son': '1/2', 'mutiqa': '0'}",,"{'atiq': 1.0, 'daughter_of_son': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'mother': '1/6'}","{'atiq': '1/6', 'daughter_of_son_x2': '2/3', 'mother': '1/6'}",,"{'atiq': 1.0, 'mother': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'grandmother_father': '1/6'}","{'atiq': '1/6', 'daughter_of_son_x2': '2/3', 'grandmother_father': '1/6'}",,"{'atiq': 1.0, 'grandmother_father': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'grandmother_mother': '1/6'}","{'atiq': '1/6', 'daughter_of_son_x2': '2/3', 'grandmother_mother': '1/6'}",,"{'atiq': 1.0, 'grandmother_mother': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'atiq': '0', 'daughter_of_son_x2': '2/3', 'sister': 'A'}","{'atiq': '0', 'daughter_of_son_x2': '2/3', 'sister': '1/3'}",,"{'atiq': 0, 'sister': 1.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'atiq': '0', 'daughter_of_son_x2': '2/3', 'sister_x2': 'A'}","{'atiq': '0', 'daughter_of_son_x2': '2/3', 'sister_x2': '1/3'}",,"{'atiq': 0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': '0', 'daughter_of_son_x2': '2/3', 'paternal_halfsister': 'A'}","{'atiq': '0', 'daughter_of_son_x2': '2/3', 'paternal_halfsister': '1/3'}",,"{'atiq': 0, 'paternal_halfsister': 1.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'atiq': '0', 'daughter_of_son_x2': '2/3', 'paternal_halfsister_x2': 'A'}","{'atiq': '0', 'daughter_of_son_x2': '2/3', 'paternal_halfsister_x2': '1/3'}",,"{'atiq': 0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'maternal_halfsister': '0'}","{'atiq': '1/3', 'daughter_of_son_x2': '2/3', 'maternal_halfsister': '0'}",,"{'atiq': 1.0, 'maternal_halfsister': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'maternal_halfsister_x2': '0'}","{'atiq': '1/3', 'daughter_of_son_x2': '2/3', 'maternal_halfsister_x2': '0'}",,"{'atiq': 1.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 3.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'wife': '1/8'}","{'atiq': '5/24', 'daughter_of_son_x2': '2/3', 'wife': '1/8'}",,"{'atiq': 5.0, 'wife': 3.0, 'daughter_of_son_1': 8.0, 'daughter_of_son_2': 8.0, 'total_shares': 24.0}"
"{'atiq': 'A', 'daughter_of_son_x2': '2/3', 'mutiqa': '0'}","{'atiq': '1/3', 'daughter_of_son_x2': '2/3', 'mutiqa': '0'}",,"{'atiq': 1.0, 'mutiqa': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'atiq': 'A', 'mother': '1/3', 'grandmother_father': '0'}","{'atiq': '2/3', 'mother': '1/3', 'grandmother_father': '0'}",,"{'atiq': 2.0, 'mother': 1.0, 'grandmother_father': 0, 'total_shares': 3.0}"
"{'atiq': 'A', 'mother': '1/3', 'grandmother_mother': '0'}","{'atiq': '2/3', 'mother': '1/3', 'grandmother_mother': '0'}",,"{'atiq': 2.0, 'mother': 1.0, 'grandmother_mother': 0, 'total_shares': 3.0}"
"{'atiq': 'A', 'mother': '1/3', 'sister': '1/2'}","{'atiq': '1/6', 'mother': '1/3', 'sister': '1/2'}",,"{'atiq': 1.0, 'mother': 2.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/6', 'sister_x2': '2/3'}","{'atiq': '1/6', 'mother': '1/6', 'sister_x2': '2/3'}",,"{'atiq': 1.0, 'mother': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/3', 'paternal_halfsister': '1/2'}","{'atiq': '1/6', 'mother': '1/3', 'paternal_halfsister': '1/2'}",,"{'atiq': 1.0, 'mother': 2.0, 'paternal_halfsister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/6', 'paternal_halfsister_x2': '2/3'}","{'atiq': '1/6', 'mother': '1/6', 'paternal_halfsister_x2': '2/3'}",,"{'atiq': 1.0, 'mother': 1.0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/3', 'maternal_halfsister': '1/6'}","{'atiq': '1/2', 'mother': '1/3', 'maternal_halfsister': '1/6'}",,"{'atiq': 3.0, 'mother': 2.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '1/2', 'mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 3.0, 'mother': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'mother': '1/3', 'wife': '1/4'}","{'atiq': '5/12', 'mother': '1/3', 'wife': '1/4'}",,"{'atiq': 5.0, 'mother': 4.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'mother': '1/3', 'mutiqa': '0'}","{'atiq': '2/3', 'mother': '1/3', 'mutiqa': '0'}",,"{'atiq': 2.0, 'mother': 1.0, 'mutiqa': 0, 'total_shares': 3.0}"
"{'atiq': 'A', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}","{'atiq': '5/6', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}",,"{'atiq': 10.0, 'grandmother_father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'sister': '1/2'}","{'atiq': '1/3', 'grandmother_father': '1/6', 'sister': '1/2'}",,"{'atiq': 2.0, 'grandmother_father': 1.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'sister_x2': '2/3'}","{'atiq': '1/6', 'grandmother_father': '1/6', 'sister_x2': '2/3'}",,"{'atiq': 1.0, 'grandmother_father': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'paternal_halfsister': '1/2'}","{'atiq': '1/3', 'grandmother_father': '1/6', 'paternal_halfsister': '1/2'}",,"{'atiq': 2.0, 'grandmother_father': 1.0, 'paternal_halfsister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '2/3'}","{'atiq': '1/6', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '2/3'}",,"{'atiq': 1.0, 'grandmother_father': 1.0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'maternal_halfsister': '1/6'}","{'atiq': '2/3', 'grandmother_father': '1/6', 'maternal_halfsister': '1/6'}",,"{'atiq': 4.0, 'grandmother_father': 1.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '1/2', 'grandmother_father': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 3.0, 'grandmother_father': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'wife': '1/4'}","{'atiq': '7/12', 'grandmother_father': '1/6', 'wife': '1/4'}",,"{'atiq': 7.0, 'grandmother_father': 2.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'grandmother_father': '1/6', 'mutiqa': '0'}","{'atiq': '5/6', 'grandmother_father': '1/6', 'mutiqa': '0'}",,"{'atiq': 5.0, 'grandmother_father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'sister': '1/2'}","{'atiq': '1/3', 'grandmother_mother': '1/6', 'sister': '1/2'}",,"{'atiq': 2.0, 'grandmother_mother': 1.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'sister_x2': '2/3'}","{'atiq': '1/6', 'grandmother_mother': '1/6', 'sister_x2': '2/3'}",,"{'atiq': 1.0, 'grandmother_mother': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister': '1/2'}","{'atiq': '1/3', 'grandmother_mother': '1/6', 'paternal_halfsister': '1/2'}",,"{'atiq': 2.0, 'grandmother_mother': 1.0, 'paternal_halfsister': 3.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '2/3'}","{'atiq': '1/6', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '2/3'}",,"{'atiq': 1.0, 'grandmother_mother': 1.0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister': '1/6'}","{'atiq': '2/3', 'grandmother_mother': '1/6', 'maternal_halfsister': '1/6'}",,"{'atiq': 4.0, 'grandmother_mother': 1.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '1/2', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 3.0, 'grandmother_mother': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'wife': '1/4'}","{'atiq': '7/12', 'grandmother_mother': '1/6', 'wife': '1/4'}",,"{'atiq': 7.0, 'grandmother_mother': 2.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'grandmother_mother': '1/6', 'mutiqa': '0'}","{'atiq': '5/6', 'grandmother_mother': '1/6', 'mutiqa': '0'}",,"{'atiq': 5.0, 'grandmother_mother': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister': '1/2', 'paternal_halfsister': '1/6'}","{'atiq': '1/3', 'sister': '1/2', 'paternal_halfsister': '1/6'}",,"{'atiq': 2.0, 'sister': 3.0, 'paternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister': '1/2', 'paternal_halfsister_x2': '1/6'}","{'atiq': '1/3', 'sister': '1/2', 'paternal_halfsister_x2': '1/6'}",,"{'atiq': 4.0, 'sister': 6.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'sister': '1/2', 'maternal_halfsister': '1/6'}","{'atiq': '1/3', 'sister': '1/2', 'maternal_halfsister': '1/6'}",,"{'atiq': 2.0, 'sister': 3.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '1/6', 'sister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 1.0, 'sister': 3.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister': '1/2', 'wife': '1/4'}","{'atiq': '1/4', 'sister': '1/2', 'wife': '1/4'}",,"{'atiq': 1.0, 'sister': 2.0, 'wife': 1.0, 'total_shares': 4.0}"
"{'atiq': 'A', 'sister': '1/2', 'mutiqa': '0'}","{'atiq': '1/2', 'sister': '1/2', 'mutiqa': '0'}",,"{'atiq': 1.0, 'sister': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'paternal_halfsister': '0'}","{'atiq': '1/3', 'sister_x2': '2/3', 'paternal_halfsister': '0'}",,"{'atiq': 1.0, 'paternal_halfsister': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'paternal_halfsister_x2': '0'}","{'atiq': '1/3', 'sister_x2': '2/3', 'paternal_halfsister_x2': '0'}",,"{'atiq': 1.0, 'sister_1': 1.0, 'sister_2': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 3.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'maternal_halfsister': '1/6'}","{'atiq': '1/6', 'sister_x2': '2/3', 'maternal_halfsister': '1/6'}",,"{'atiq': 1.0, 'maternal_halfsister': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '0', 'sister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 0, 'sister_1': 2.0, 'sister_2': 2.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'wife': '1/4'}","{'atiq': '1/12', 'sister_x2': '2/3', 'wife': '1/4'}",,"{'atiq': 1.0, 'wife': 3.0, 'sister_1': 4.0, 'sister_2': 4.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'sister_x2': '2/3', 'mutiqa': '0'}","{'atiq': '1/3', 'sister_x2': '2/3', 'mutiqa': '0'}",,"{'atiq': 1.0, 'mutiqa': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'atiq': 'A', 'paternal_halfsister': '1/2', 'maternal_halfsister': '1/6'}","{'atiq': '1/3', 'paternal_halfsister': '1/2', 'maternal_halfsister': '1/6'}",,"{'atiq': 2.0, 'paternal_halfsister': 3.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'paternal_halfsister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '1/6', 'paternal_halfsister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 1.0, 'paternal_halfsister': 3.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'paternal_halfsister': '1/2', 'wife': '1/4'}","{'atiq': '1/4', 'paternal_halfsister': '1/2', 'wife': '1/4'}",,"{'atiq': 1.0, 'paternal_halfsister': 2.0, 'wife': 1.0, 'total_shares': 4.0}"
"{'atiq': 'A', 'paternal_halfsister': '1/2', 'mutiqa': '0'}","{'atiq': '1/2', 'paternal_halfsister': '1/2', 'mutiqa': '0'}",,"{'atiq': 1.0, 'paternal_halfsister': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'atiq': 'A', 'paternal_halfsister_x2': '2/3', 'maternal_halfsister': '1/6'}","{'atiq': '1/6', 'paternal_halfsister_x2': '2/3', 'maternal_halfsister': '1/6'}",,"{'atiq': 1.0, 'maternal_halfsister': 1.0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'paternal_halfsister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}","{'atiq': '0', 'paternal_halfsister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}",,"{'atiq': 0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'paternal_halfsister_x2': '2/3', 'wife': '1/4'}","{'atiq': '1/12', 'paternal_halfsister_x2': '2/3', 'wife': '1/4'}",,"{'atiq': 1.0, 'wife': 3.0, 'paternal_halfsister_1': 4.0, 'paternal_halfsister_2': 4.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'paternal_halfsister_x2': '2/3', 'mutiqa': '0'}","{'atiq': '1/3', 'paternal_halfsister_x2': '2/3', 'mutiqa': '0'}",,"{'atiq': 1.0, 'mutiqa': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 3.0}"
"{'atiq': 'A', 'maternal_halfsister': '1/6', 'wife': '1/4'}","{'atiq': '7/12', 'maternal_halfsister': '1/6', 'wife': '1/4'}",,"{'atiq': 7.0, 'maternal_halfsister': 2.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'maternal_halfsister': '1/6', 'mutiqa': '0'}","{'atiq': '5/6', 'maternal_halfsister': '1/6', 'mutiqa': '0'}",,"{'atiq': 5.0, 'maternal_halfsister': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'atiq': 'A', 'maternal_halfsister_x2': 'share 1/3', 'wife': '1/4'}","{'atiq': '5/12', 'maternal_halfsister_x2': 'share 1/3', 'wife': '1/4'}",,"{'atiq': 5.0, 'wife': 3.0, 'maternal_halfsister_1': 2.0, 'maternal_halfsister_2': 2.0, 'total_shares': 12.0}"
"{'atiq': 'A', 'maternal_halfsister_x2': 'share 1/3', 'mutiqa': '0'}","{'atiq': '2/3', 'maternal_halfsister_x2': 'share 1/3', 'mutiqa': '0'}",,"{'atiq': 4.0, 'mutiqa': 0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'atiq': 'A', 'wife': '1/4', 'mutiqa': '0'}","{'atiq': '3/4', 'wife': '1/4', 'mutiqa': '0'}",,"{'atiq': 3.0, 'wife': 1.0, 'mutiqa': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'mother': '1/6'}","{'daughter': '3/5', 'daughter_of_son': '1/5', 'mother': '1/5'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'mother': 1.0, 'total_shares': 5.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'grandmother_father': '1/6'}","{'daughter': '3/5', 'daughter_of_son': '1/5', 'grandmother_father': '1/5'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'grandmother_father': 1.0, 'total_shares': 5.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'grandmother_mother': '1/6'}","{'daughter': '3/5', 'daughter_of_son': '1/5', 'grandmother_mother': '1/5'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'grandmother_mother': 1.0, 'total_shares': 5.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'sister': 'A'}","{'daughter': '1/2', 'daughter_of_son': '1/6', 'sister': '1/3'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'sister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'sister_x2': 'A'}","{'daughter': '1/2', 'daughter_of_son': '1/6', 'sister_x2': '1/3'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'paternal_halfsister': 'A'}","{'daughter': '1/2', 'daughter_of_son': '1/6', 'paternal_halfsister': '1/3'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'paternal_halfsister': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter': '1/2', 'daughter_of_son': '1/6', 'paternal_halfsister_x2': '1/3'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'maternal_halfsister': '0'}","{'daughter': '3/4', 'daughter_of_son': '1/4', 'maternal_halfsister': '0'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'maternal_halfsister': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter': '3/4', 'daughter_of_son': '1/4', 'maternal_halfsister_x2': '0'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'wife': '1/8'}","{'daughter': '21/32', 'daughter_of_son': '7/32', 'wife': '1/8'}",,"{'daughter': 21.0, 'daughter_of_son': 7.0, 'wife': 4.0, 'total_shares': 32.0}"
"{'daughter': '1/2', 'daughter_of_son': '1/6', 'mutiqa': 'A'}","{'daughter': '1/2', 'daughter_of_son': '1/6', 'mutiqa': '1/3'}",,"{'daughter': 3.0, 'daughter_of_son': 1.0, 'mutiqa': 2.0, 'total_shares': 6.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'mother': '1/6'}","{'daughter': '3/5', 'daughter_of_son_x2': '1/5', 'mother': '1/5'}",,"{'daughter': 6.0, 'mother': 2.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 10.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'grandmother_father': '1/6'}","{'daughter': '3/5', 'daughter_of_son_x2': '1/5', 'grandmother_father': '1/5'}",,"{'daughter': 6.0, 'grandmother_father': 2.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 10.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'grandmother_mother': '1/6'}","{'daughter': '3/5', 'daughter_of_son_x2': '1/5', 'grandmother_mother': '1/5'}",,"{'daughter': 6.0, 'grandmother_mother': 2.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 10.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'sister': 'A'}","{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'sister': '1/3'}",,"{'daughter': 6.0, 'sister': 4.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 12.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'sister_x2': 'A'}","{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'sister_x2': '1/3'}",,"{'daughter': 6.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 12.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'paternal_halfsister': 'A'}","{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'paternal_halfsister': '1/3'}",,"{'daughter': 6.0, 'paternal_halfsister': 4.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 12.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'paternal_halfsister_x2': 'A'}","{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'paternal_halfsister_x2': '1/3'}",,"{'daughter': 6.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'paternal_halfsister_1': 2.0, 'paternal_halfsister_2': 2.0, 'total_shares': 12.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'maternal_halfsister': '0'}","{'daughter': '3/4', 'daughter_of_son_x2': '1/4', 'maternal_halfsister': '0'}",,"{'daughter': 6.0, 'maternal_halfsister': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'maternal_halfsister_x2': '0'}","{'daughter': '3/4', 'daughter_of_son_x2': '1/4', 'maternal_halfsister_x2': '0'}",,"{'daughter': 6.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 8.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'wife': '1/8'}","{'daughter': '21/32', 'daughter_of_son_x2': '7/32', 'wife': '1/8'}",,"{'daughter': 42.0, 'wife': 8.0, 'daughter_of_son_1': 7.0, 'daughter_of_son_2': 7.0, 'total_shares': 64.0}"
"{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'mutiqa': 'A'}","{'daughter': '1/2', 'daughter_of_son_x2': '1/6', 'mutiqa': '1/3'}",,"{'daughter': 6.0, 'mutiqa': 4.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 12.0}"
"{'daughter': '1/2', 'mother': '1/6', 'grandmother_father': '0'}","{'daughter': '3/4', 'mother': '1/4', 'grandmother_father': '0'}",,"{'daughter': 3.0, 'mother': 1.0, 'grandmother_father': 0, 'total_shares': 4.0}"
"{'daughter': '1/2', 'mother': '1/6', 'grandmother_mother': '0'}","{'daughter': '3/4', 'mother': '1/4', 'grandmother_mother': '0'}",,"{'daughter': 3.0, 'mother': 1.0, 'grandmother_mother': 0, 'total_shares': 4.0}"
